Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
-2.97743,112.868,LPN-NPP,05:50:44 AM,20160825,LAPAN,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,MENTAYA HILIR SELATAN,SAMUDA BESAR,
-5.06259,105.101,LPN-NPP,06:11:04 AM,20160824,LAPAN,LAMPUNG,LAMPUNG TENGAH,ANAK TUHA,BUMI JAYA,
-8.29323,130.812,LPN-NPP,04:30:05 AM,20160824,LAPAN,MALUKU,MALUKU TENGGARA BARAT,TANIMBAR SELATAN DAYA,WERAIN,
-0.512625,110.168,LPN-NPP,06:29:59 AM,20160823,LAPAN,KALIMANTAN BARAT,KETAPANG,SIMPANG HULU,SEKUCING LABAI,
1.18991,100.672,LPN-NPP,06:29:59 AM,20160823,LAPAN,RIAU,ROKAN HULU,KECAMATAN KAPENUHAN,UPT SP IV KOTO TENGAH,
2.31418,100.288,LPN-NPP,06:29:59 AM,20160823,LAPAN,SUMATERA UTARA,LABUHANBATU,PANAI TENGAH,SELAT BETING,
1.41833,100.752,LPN-NPP,06:29:59 AM,20160823,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,SIARANG ARANG,
-2.88911,112.916,LPN-NPP,05:25:25 AM,20160821,LAPAN,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,MENTAYA HILIR SELATAN,JAYA KELAPA,
1.38958,100.673,LPN-NPP,06:36:36 AM,20160913,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,TELUK NAYANG,
-9.44932,124.443,LPN-NPP,04:54:11 AM,20160913,LAPAN,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,KOTA KEFAMENANU,KEFAMENANU SELATAN,
-0.608507,110.57,LPN-NPP,05:32:02 AM,20160911,LAPAN,KALIMANTAN BARAT,KETAPANG,SUNGAI LAUR,SUKARAMAI,
-0.315907,110.68,LPN-NPP,05:32:02 AM,20160911,LAPAN,KALIMANTAN BARAT,SEKADAU,NANGA TAMAN,SENANGAK,
-2.57665,121.381,LPN-NPP,05:32:02 AM,20160911,LAPAN,SULAWESI SELATAN,LUWU TIMUR,NUHA,SOROAKO,
-9.55198,119.991,LPN-NPP,05:32:02 AM,20160911,LAPAN,NUSA TENGGARA TIMUR,SUMBA TIMUR,HAHARU,MBATA PUHU,
0.0712034,110.332,LPN-NPP,05:32:02 AM,20160911,LAPAN,KALIMANTAN BARAT,SANGGAU,TAYAN HILIR,BALAI INGIN,
-1.20693,110.412,LPN-NPP,05:32:02 AM,20160911,LAPAN,KALIMANTAN BARAT,KAYONG UTARA,SIMPANG HILIR,BATU BARAT,TN GUNUNG PALUNG
-1.61729,111.184,LPN-NPP,05:32:02 AM,20160911,LAPAN,KALIMANTAN TENGAH,LAMANDAU,DELANG,KARANG MAS,
-0.740939,110.774,LPN-NPP,05:32:02 AM,20160911,LAPAN,KALIMANTAN BARAT,KETAPANG,SANDAI,RANDAU,
-1.8917,111.338,LPN-NPP,05:32:02 AM,20160911,LAPAN,KALIMANTAN TENGAH,LAMANDAU,LAMANDAU,BAKONSU,
-1.57338,110.994,LPN-NPP,05:50:58 AM,20160910,LAPAN,KALIMANTAN TENGAH,LAMANDAU,DELANG,KUDANGAN,
-2.72282,105.997,LPN-NPP,05:50:58 AM,20160910,LAPAN,BANGKA BELITUNG,BANGKA SELATAN,SIMPANG RIMBA,GUDANG,
-1.9134,110.845,LPN-NPP,05:50:58 AM,20160910,LAPAN,KALIMANTAN BARAT,KETAPANG,JELAI HULU,KESUMA JAYA,
-8.70901,120.836,LPN-NPP,05:50:58 AM,20160910,LAPAN,NUSA TENGGARA TIMUR,MANGGARAI,ELAR,NANGA MEJE,
-3.03277,107.985,LPN-NPP,05:50:58 AM,20160910,LAPAN,BANGKA BELITUNG,BELITUNG TIMUR,DENDANG,DENDANG,
-7.84088,114.304,LPN-NPP,05:50:58 AM,20160910,LAPAN,JAWA TIMUR,SITUBONDO,,,
-2.05811,111.091,LPN-NPP,05:50:58 AM,20160910,LAPAN,KALIMANTAN TENGAH,SUKAMARA,BALAI RIAM,NIBUNG TERJUN,
-3.05672,106.7,LPN-NPP,05:50:58 AM,20160910,LAPAN,BANGKA BELITUNG,BANGKA SELATAN,TOBOALI,SADAI,
-0.636012,110.577,LPN-NPP,05:50:58 AM,20160910,LAPAN,KALIMANTAN BARAT,KETAPANG,SUNGAI LAUR,SUKARAMAI,
-8.40441,113.537,LPN-NPP,05:50:58 AM,20160910,LAPAN,JAWA TIMUR,JEMBER,,,
-8.25892,118.138,LPN-NPP,04:49:13 AM,20160908,LAPAN,NUSA TENGGARA BARAT,BIMA,SANGGAR,UPT PIONG,
-7.6891,130.993,LPN-NPP,04:49:13 AM,20160908,LAPAN,MALUKU,MALUKU TENGGARA BARAT,TANIMBAR SELATAN BARAT,KAMATUBUN,
-8.19383,131.027,LPN-NPP,04:49:13 AM,20160908,LAPAN,MALUKU,MALUKU TENGGARA BARAT,TANIMBAR SELATAN DAYA,KANDAR,
-1.51913,119.739,LPN-NPP,04:49:13 AM,20160908,LAPAN,SULAWESI TENGAH,SIGI,KULAWI,BANGGAIBA,
-9.51152,119.945,LPN-NPP,04:49:13 AM,20160908,LAPAN,NUSA TENGGARA TIMUR,SUMBA TIMUR,HAHARU,MBATA PUHU,
-8.19343,127.961,LPN-NPP,04:49:13 AM,20160908,LAPAN,MALUKU,MALUKU TENGGARA BARAT,P. MOA,KLIS,
-10.3196,123.569,LPN-NPP,05:06:43 AM,20160907,LAPAN,NUSA TENGGARA TIMUR,KUPANG,KUPANG BARAT,BONE,
-8.42908,122.691,LPN-NPP,05:06:43 AM,20160907,LAPAN,NUSA TENGGARA TIMUR,FLORES TIMUR,WULANGGITANG,NILEKNOHENG,
-2.57522,121.373,LPN-NPP,05:44:34 AM,20160905,LAPAN,SULAWESI SELATAN,LUWU TIMUR,NUHA,MAGANI,
-1.03971,101.605,LPN-NPP,06:23:51 AM,20160903,LAPAN,SUMATERA BARAT,DHARMASRAYA,SITIUNG,PIRUKO,
2.59568,115.875,LPN-NPP,05:01:46 AM,20160902,LAPAN,KALIMANTAN UTARA,MALINAU,PUJUNGAN,LONG APAN BARU,
