,lat,long,satellite,time_utc,date,source,provinsi,kab_kota,kec2006,desaa2006,nama_kaw
1,-5.06259,105.101,LPN-NPP,06:11:04 AM,2016-08-24,LAPAN,LAMPUNG,LAMPUNG TENGAH,ANAK TUHA,BUMI JAYA,
4,1.18991,100.67200000000001,LPN-NPP,06:29:59 AM,2016-08-23,LAPAN,RIAU,ROKAN HULU,KECAMATAN KAPENUHAN,UPT SP IV KOTO TENGAH,
5,2.31418,100.288,LPN-NPP,06:29:59 AM,2016-08-23,LAPAN,SUMATERA UTARA,LABUHANBATU,PANAI TENGAH,SELAT BETING,
6,1.4183299999999999,100.75200000000001,LPN-NPP,06:29:59 AM,2016-08-23,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,SIARANG ARANG,
8,1.38958,100.67299999999999,LPN-NPP,06:36:36 AM,2016-09-13,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,TELUK NAYANG,
38,-1.0397100000000001,101.605,LPN-NPP,06:23:51 AM,2016-09-03,LAPAN,SUMATERA BARAT,DHARMASRAYA,SITIUNG,PIRUKO,
54,-3.1542,103.88,LPN-NPP,05:38:10 AM,2016-08-31,LAPAN,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,TALANG UBI,KOTA BARU,
61,1.24912,100.78,LPN-NPP,17:58:11 PM,2016-08-27,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,KEPENUHAN HILIR,
63,1.30447,100.757,LPN-NPP,18:17:06 PM,2016-08-26,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,AIR HITAM,
64,1.29958,100.73299999999999,LPN-NPP,18:17:06 PM,2016-08-26,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,AIR HITAM,
65,1.44303,100.83200000000001,LPN-NPP,18:17:06 PM,2016-08-26,LAPAN,RIAU,ROKAN HILIR,KECAMATAN TANAH PUTIH,SEKELADI,
66,1.28583,100.73100000000001,LPN-NPP,18:17:06 PM,2016-08-26,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,AIR HITAM,
67,1.44187,100.84,LPN-NPP,18:17:06 PM,2016-08-26,LAPAN,RIAU,ROKAN HILIR,KECAMATAN TANAH PUTIH,SEKELADI,
68,1.425,100.78299999999999,LPN-NPP,18:17:06 PM,2016-08-26,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,SEKELADI,
69,1.34247,100.73200000000001,LPN-NPP,18:17:06 PM,2016-08-26,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PUJUD,AIR HITAM,
